completed_orders,average_fulfillment_time,total_distance,collisions,charging_events,average_battery,utilization,tick
0,0,0.0,0,0,64.7,0.54,1410
0,0,0.0,0,0,64.45,0.54,1420
0,0,0.0,0,0,64.2,0.54,1430
0,0,0.0,0,0,63.95,0.55,1440
0,0,0.0,0,0,63.7,0.55,1450
0,0,0.0,0,0,63.45,0.55,1460
0,0,0.0,0,0,63.2,0.55,1470
0,0,0.0,0,0,62.95,0.55,1480
0,0,0.0,0,0,62.7,0.55,1490
0,0,0.0,0,0,62.45,0.56,1500
0,0,0.0,0,0,62.2,0.56,1510
0,0,0.0,0,0,61.95,0.56,1520
0,0,0.0,0,0,61.7,0.56,1530
0,0,0.0,0,0,61.45,0.56,1540
0,0,0.0,0,0,61.2,0.57,1550
0,0,0.0,0,0,60.95,0.57,1560
0,0,0.0,0,0,60.7,0.57,1570
0,0,0.0,0,0,60.45,0.58,1580
0,0,0.0,0,0,60.2,0.58,1590
0,0,0.0,0,0,59.95,0.58,1600
0,0,0.0,0,0,59.7,0.58,1610
0,0,0.0,0,0,59.45,0.59,1620
0,0,0.0,0,0,59.2,0.59,1630
0,0,0.0,0,0,58.95,0.59,1640
0,0,0.0,0,0,58.7,0.59,1650
0,0,0.0,0,0,58.45,0.6,1660
0,0,0.0,0,0,58.2,0.6,1670
0,0,0.0,0,0,57.95,0.6,1680
0,0,0.0,0,0,57.7,0.6,1690
0,0,0.0,0,0,57.45,0.61,1700
0,0,0.0,0,0,57.2,0.61,1710
0,0,0.0,0,0,56.95,0.61,1720
0,0,0.0,0,0,56.7,0.61,1730
0,0,0.0,0,0,56.45,0.61,1740
0,0,0.0,0,0,56.2,0.62,1750
0,0,0.0,0,0,55.95,0.62,1760
0,0,0.0,0,0,55.7,0.62,1770
0,0,0.0,0,0,55.45,0.62,1780
0,0,0.0,0,0,55.2,0.62,1790
0,0,0.0,0,0,54.95,0.63,1800
0,0,0.0,0,0,54.7,0.63,1810
